id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020,upbeat|euphoric,0.02,english
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,60,2020,nostalgic|dreamy,0.85,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive|energetic,0.05,english
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,45,2020,calm|nostalgic,0.90,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2020,energetic|aggressive,0.01,english
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2010,dreamy|calm,0.95,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,40,2000,romantic|nostalgic,0.60,english
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,66,1980,nostalgic|moody,0.40,english
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,55,2020,calm|focused,0.88,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,78,2010,upbeat|dreamy,0.10,english
11,Concrete Kingdom,Vell,hip hop,energetic,0.80,95,0.70,0.85,0.08,88,2020,aggressive|confident,0.03,english
12,Winter Elegy,The Ashford Ensemble,classical,melancholy,0.25,68,0.30,0.15,0.95,35,1990,melancholy|dramatic,0.98,instrumental
13,Backroad Memories,Dusty Wheeler,country,nostalgic,0.55,100,0.62,0.55,0.72,58,2000,nostalgic|warm,0.20,english
14,Neon Overdrive,Pulsewave,edm,euphoric,0.95,128,0.88,0.92,0.03,82,2010,euphoric|energetic,0.50,english
15,Island Time,Coral Sound System,reggae,uplifting,0.60,90,0.80,0.78,0.40,62,1990,warm|uplifting,0.15,english
16,Iron Verdict,Blacktide,metal,angry,0.98,160,0.25,0.45,0.04,54,2010,aggressive|dark,0.06,english
17,Velvet Hours,Mika Rae,r&b,romantic,0.50,85,0.68,0.70,0.35,70,2000,romantic|smooth,0.12,english
18,Paper Boats,Wren & Willow,folk,dreamy,0.38,82,0.58,0.42,0.88,48,2020,dreamy|melancholy,0.30,english
